Date,BPI,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,444.15073173417153,486.77689961624105,0.07795380790993016,0.0,0.07795380790993016,0.9434586082235179
2019-02-28,379.1950850156157,431.0522938113194,0.06303344761134577,0.0009852216748766907,0.06286760734462794,0.7615404517739381
2019-03-31,394.51560488781683,466.047948177009,0.07338064433087461,0.0009842519685039353,0.0733872319288006,0.8825200589566833
2019-04-30,359.38536767653744,444.6076922411487,0.060520707930085516,0.002949852507374562,0.06098983510140993,0.72844473430414
2019-05-31,384.51551984282764,479.36049065395446,0.08631123366229576,0.0019607843137254832,0.08633341588576202,1.0442852239429863
2019-06-30,351.24262269832803,445.04358213550273,0.044679104043727144,0.0009784735812133905,0.044689838051336486,0.5374297990582041
2019-07-31,410.4305300535037,491.0931479872226,0.09507007262939303,0.002938295788442735,0.09501703361413595,1.1136894982077
2019-08-31,392.92115303200467,446.78714171291904,0.09058808292048254,0.0009765625,0.09041085245987082,1.0770706401913612
2019-09-30,428.4316573270467,481.2366569578839,0.060557762850250656,0.0009756097560975618,0.060565605762172396,0.7200185144745439
2019-10-31,455.1480857918662,493.4910637488789,0.05783225347357247,0.0029239766081872176,0.058384824286775786,0.6927071042416526
2019-11-30,429.8409676845612,472.92181171944264,0.07853142274787714,0.002915451895043608,0.07858520772128195,0.9483912816196263
2019-12-31,381.3177120197801,452.4537103395219,0.08577062379345794,0.005813953488372103,0.08596518083089068,1.031727246473008
2020-01-31,408.72833275905896,501.1643941861792,0.08264774340484732,0.00674373795761074,0.08291875697044737,1.001166956374236
2020-02-29,374.33508050942805,465.5493529154562,0.09472458584883751,0.003827751196172291,0.09480248760837795,1.1631713223061424
2020-03-31,309.9531698498985,487.3341974456543,0.2700364357907488,0.0019212295869355245,0.27004329653162096,3.31328188433278
2020-04-30,268.0507647815988,464.2077121289563,0.14663629020140664,0.0009624639076035724,0.14666616245170133,1.7875591973335565
2020-05-31,273.07050371653105,464.2077121289563,0.0839451549584794,0.0,0.0839451549584794,0.9973652230604506
2020-06-30,333.0080329361441,478.4209025533896,0.14626663328357944,0.005780346820809301,0.14571957487982995,1.7463603515689539
2020-07-31,333.10139222164776,492.02461320547786,0.1245337684019076,0.00478927203065127,0.12488716869618588,1.501636158485187
2020-08-31,287.7547740698667,468.67984808395596,0.11244434462135461,0.0009532888465205724,0.11244839319462227,1.3604114042336377
2020-09-30,305.03442838473165,492.02461320547786,0.0680999108045597,0.000954198473282597,0.06804365971597436,0.8219471074063747
2020-10-31,323.6215266325774,493.90077950940713,0.12478766991361778,0.0038131553860818457,0.1238647336319591,1.4535297276458334
2020-11-30,359.4598725866352,463.3509576983736,0.11028630751701117,0.009496676163342821,0.11068679970429769,1.3223263656893025
2020-12-31,349.39353170887404,454.8110816591874,0.0704268892283573,0.008466603951081897,0.07477813115569502,0.839071732604879
2021-01-31,382.2460693061473,496.7512053332131,0.09036627238730141,0.011194029850746245,0.09104180652925731,1.0824085613735281
2021-02-28,360.6487314548604,460.32651455244246,0.08958753765569984,0.0009225092250921829,0.08908281668465204,1.0541819982001406
2021-03-31,402.2758195566818,518.9089708224362,0.10190990383546136,0.0027649769585252892,0.10143533499000904,1.2301664626532984
2021-04-30,370.3504488994174,483.43789673545444,0.046111829028408394,0.0009242144177450395,0.046121107203788564,0.5507071530041259
2021-05-31,375.92721037456175,495.3764326247262,0.06911685753135396,0.0,0.06911685753135396,0.8220203664401822
2021-06-30,407.1588633445182,507.9720267888775,0.043975993412909455,0.0018501387604070718,0.04386439102792234,0.5254607808251511
2021-07-31,395.5233747833369,498.58423561119537,0.08216319218076333,0.004616805170821747,0.08149329739928486,0.9892073494666604
2021-08-31,389.54164732413403,513.1314841246831,0.06319864403790422,0.005514705882353033,0.06343617199470204,0.7544468087098942
2021-09-30,386.45547609006655,512.6624425487008,0.040828988665862966,0.000914076782449813,0.040598592249668115,0.49121385191683914
2021-10-31,386.27615121827023,501.7920385976645,0.054044919568671926,0.0018298261665141702,0.05424028273166361,0.6431993783713665
2021-11-30,418.0936318577455,504.9998415841336,0.07287812314365878,0.006392694063926951,0.07315442463481227,0.8756948805244902
2021-12-31,424.75032371971184,506.3746142926203,0.08699138721068006,0.0027223230490018846,0.08743762111452091,1.0431944579148758
2022-01-31,433.60121944016714,511.8737051265674,0.06442708491784023,0.010859728506787292,0.06531663377165581,0.763027116504369
2022-02-28,435.0470261937208,487.32490188784726,0.054526232439573996,0.0008952551477170445,0.05453356831069656,0.6525581529701455
2022-03-31,467.5933837213696,539.531046372681,0.12574200163736923,0.0062611806797854275,0.12661943342730284,1.5274505704486565
2022-04-30,428.57408052750924,494.2991401975124,0.05102682750262335,0.008000000000000007,0.05269360797753655,0.6132403959643925
2022-05-31,435.8276408168715,521.9553716554701,0.104765680499097,0.0044091710758378255,0.10485760960313971,1.2531416644619726
2022-06-30,432.4909131993411,538.9287708037122,0.10292152672676622,0.008779631255487308,0.1057567304427828,1.2529372082761132
2022-07-31,405.63718394644246,530.6622654758863,0.08695319140244924,0.007832898172323688,0.08602271746699841,1.0292671068480197
2022-08-31,442.5926541414803,545.4953528674648,0.08600507796549235,0.0043177892918826455,0.08762589654047963,1.0359540869646389
2022-09-30,434.9518479096278,535.244841170842,0.07472050630678001,0.004299226139294898,0.07411055317053421,0.9080980158884141
2022-10-31,422.88829494323915,540.2856744352936,0.05983736424995249,0.009417808219178259,0.06056036618529465,0.7153392473999104
2022-11-30,444.93237407498236,545.326507699745,0.08245344028859664,0.00932994062765058,0.08296996901595352,0.9842078300170404
