Date,SECB,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,815.3630552091503,486.77689961624105,0.0867013951264484,0.0,0.0867013951264484,1.0241478268447985
2019-02-28,729.0082943972585,431.0522938113194,0.07553203629165309,0.0009852216748766907,0.0755310621489401,0.9104985554131688
2019-03-31,758.3322241603611,466.047948177009,0.0912597383746822,0.0009842519685039353,0.0914747038462334,1.088802712703106
2019-04-30,766.3477011122301,444.6076922411487,0.042638185489147926,0.002949852507374562,0.04313001416185055,0.5111601777750034
2019-05-31,807.3668009647164,479.36049065395446,0.11127053567990916,0.0019607843137254832,0.11128774304787777,1.3110453403574953
2019-06-30,732.4388897375671,445.04358213550273,0.06076575476499315,0.0009784735812133905,0.060773647570832666,0.732584209593133
2019-07-31,851.6984441103551,491.0931479872226,0.06117510204779631,0.002938295788442735,0.0616326619964887,0.7254413403920386
2019-08-31,810.8636333564355,446.78714171291904,0.12380976412639028,0.0009765625,0.12383537566402829,1.4641895035161792
2019-09-30,931.9905505422252,481.2366569578839,0.060167931296670876,0.0009756097560975618,0.06017582501663436,0.7243345143511354
2019-10-31,939.7759335075569,493.4910637488789,0.08681616968179857,0.0029239766081872176,0.08800358265035751,1.0374259390304585
2019-11-30,913.1766504351717,472.92181171944264,0.048545576734830696,0.002915451895043608,0.04863253575856983,0.5810707593896098
2019-12-31,848.6390312140965,452.4537103395219,0.08445821135639646,0.005813953488372103,0.08465578465108321,1.0089884133412945
2020-01-31,888.0180977322478,501.1643941861792,0.08803554363504552,0.00674373795761074,0.0882900204481154,1.0652297390200933
2020-02-29,752.9883986490097,465.5493529154562,0.12118519678494183,0.003827751196172291,0.12124609854468697,1.4730876023286472
2020-03-31,594.2889552229623,487.3341974456543,0.28007390575708724,0.0019212295869355245,0.28008052062420113,3.452322309757833
2020-04-30,465.4168788301516,464.2077121289563,0.09350719727345445,0.0009624639076035724,0.09404682211751457,1.1160555614154857
2020-05-31,411.27464157178474,464.2077121289563,0.1527111615224102,0.0,0.1527111615224102,1.8586324099960099
2020-06-30,471.29581453689997,478.4209025533896,0.19001849214273783,0.005780346820809301,0.18715805247036452,2.2207465964557795
2020-07-31,468.73831356098896,492.02461320547786,0.08230402589299685,0.00478927203065127,0.08141307058894454,0.9988976313947898
2020-08-31,418.2531189363685,468.67984808395596,0.0827073307794029,0.0009532888465205724,0.08271283491321031,0.9982051735611698
2020-09-30,439.58243618233894,492.02461320547786,0.05501659430399281,0.000954198473282597,0.0552020127126611,0.6629739141965348
2020-10-31,440.49021623641084,493.90077950940713,0.06969941414903157,0.0038131553860818457,0.0698028525923006,0.8271076118623986
2020-11-30,474.97636035912353,463.3509576983736,0.1372626797508515,0.009496676163342821,0.13758466940552416,1.5993099472183112
2020-12-31,579.5155821891246,454.8110816591874,0.13417047581094832,0.008466603951081897,0.1356458557497328,1.5755603217318968
2021-01-31,608.6191912846652,496.7512053332131,0.10803284687040625,0.011194029850746245,0.10859854213505543,1.2956305760909435
2021-02-28,549.4468036125062,460.32651455244246,0.07017861541262191,0.0009225092250921829,0.07032440254338078,0.8368990105853649
2021-03-31,593.9472367138346,518.9089708224362,0.09293918780048564,0.0027649769585252892,0.09275373826494406,1.124834873256637
2021-04-30,527.0073339148138,483.43789673545444,0.054714332040967616,0.0009242144177450395,0.054722151675966155,0.6620223421111406
2021-05-31,535.4069573698123,495.3764326247262,0.06914000976027575,0.0,0.06914000976027575,0.8243678743580547
2021-06-30,571.6545547793702,507.9720267888775,0.04185930687674359,0.0018501387604070718,0.04179143661728674,0.5036837225077311
2021-07-31,528.8644627879623,498.58423561119537,0.08875152356378269,0.004616805170821747,0.08847394466366701,1.061929776828991
2021-08-31,529.9685839745597,513.1314841246831,0.06092396337232045,0.005514705882353033,0.061170324685287845,0.7272068958867975
2021-09-30,515.624727878716,512.6624425487008,0.048697899827219567,0.000914076782449813,0.04854159086706185,0.5895236017703447
2021-10-31,539.6535833291575,501.7920385976645,0.12199973918811459,0.0018298261665141702,0.12187103253646475,1.4339260009022368
2021-11-30,557.2715137166084,504.9998415841336,0.05729281330303846,0.006392694063926951,0.05764386755661832,0.6886538477654003
2021-12-31,536.495824774061,506.3746142926203,0.05046419694414357,0.0027223230490018846,0.0507685683874817,0.6038170609381283
2022-01-31,505.1247865626869,511.8737051265674,0.12095707375199366,0.010859728506787292,0.12143322060661672,1.4498246243837913
2022-02-28,501.67103763322837,487.32490188784726,0.09103593049155914,0.0008952551477170445,0.091040324522197,1.0950232815368295
2022-03-31,527.7473259051153,539.531046372681,0.10442196891327117,0.0062611806797854275,0.10495903090976,1.25236725043778
2022-04-30,465.9092830154815,494.2991401975124,0.045143173374001234,0.008000000000000007,0.045992692667407686,0.5472490413271003
2022-05-31,438.5244805025143,521.9553716554701,0.1030598943616392,0.0044091710758378255,0.1031533436543761,1.24943053342727
2022-06-30,425.6747731543414,538.9287708037122,0.07994905647197335,0.008779631255487308,0.08059524507535211,0.958849305236902
2022-07-31,409.87181837740445,530.6622654758863,0.06937573403423125,0.007832898172323688,0.07439147871825953,0.8409063242408239
2022-08-31,410.679196575624,545.4953528674648,0.11465715119112678,0.0043177892918826455,0.11617190479386559,1.3670955359606964
2022-09-30,397.1549823431654,535.244841170842,0.0800684939325429,0.004299226139294898,0.08047599981527316,0.9751648402246673
2022-10-31,378.13698906613195,540.2856744352936,0.10147240113704072,0.009417808219178259,0.10190042190605487,1.21137274750469
2022-11-30,417.38306745722207,545.326507699745,0.05201824593528663,0.00932994062765058,0.05283317000963581,0.6204039473794741
