Date,SMC2I,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,319.7389951194568,486.77689961624105,inf,0.0,inf,inf
2019-02-28,283.6206841892883,431.0522938113194,inf,0.0009852216748766907,inf,inf
2019-03-31,310.44929537687796,466.047948177009,inf,0.0009842519685039353,inf,inf
2019-04-30,284.1068153001614,444.6076922411487,inf,0.002949852507374562,inf,inf
2019-05-31,294.1211442586201,479.36049065395446,inf,0.0019607843137254832,inf,inf
2019-06-30,302.71548523324674,445.04358213550273,inf,0.0009784735812133905,inf,inf
2019-07-31,315.40546919798334,491.0931479872226,inf,0.002938295788442735,inf,inf
2019-08-31,312.1808690486975,446.78714171291904,inf,0.0009765625,inf,inf
2019-09-30,305.95477606992836,481.2366569578839,inf,0.0009756097560975618,inf,inf
2019-10-31,347.72298960523165,493.4910637488789,inf,0.0029239766081872176,inf,inf
2019-11-30,345.5613295784122,472.92181171944264,0.011633055925715353,0.002915451895043608,0.011990767446750813,0.13998406522354465
2019-12-31,303.8115369764618,452.4537103395219,inf,0.005813953488372103,inf,inf
2020-01-31,338.30041383362214,501.1643941861792,inf,0.00674373795761074,inf,inf
2020-02-29,312.86334476892625,465.5493529154562,inf,0.003827751196172291,inf,inf
2020-03-31,302.0477859544744,487.3341974456543,inf,0.0019212295869355245,inf,inf
2020-04-30,308.7163382459697,464.2077121289563,inf,0.0009624639076035724,inf,inf
2020-05-31,321.7132457639878,464.2077121289563,inf,0.0,inf,inf
2020-06-30,290.47489564504536,478.4209025533896,inf,0.005780346820809301,inf,inf
2020-07-31,292.0338293759817,492.02461320547786,inf,0.00478927203065127,inf,inf
2020-08-31,314.35270000431046,468.67984808395596,inf,0.0009532888465205724,inf,inf
2020-09-30,300.86110582792185,492.02461320547786,inf,0.000954198473282597,inf,inf
2020-10-31,329.51854651900857,493.90077950940713,inf,0.0038131553860818457,inf,inf
2020-11-30,278.06994174128204,463.3509576983736,inf,0.009496676163342821,inf,inf
2020-12-31,290.03078715888074,454.8110816591874,inf,0.008466603951081897,inf,inf
2021-01-31,278.3998248921863,496.7512053332131,inf,0.011194029850746245,inf,inf
2021-02-28,311.7037014538005,460.32651455244246,inf,0.0009225092250921829,inf,inf
2021-03-31,342.21541096216,518.9089708224362,inf,0.0027649769585252892,inf,inf
2021-04-30,294.7385154675242,483.43789673545444,inf,0.0009242144177450395,inf,inf
2021-05-31,303.49033757271417,495.3764326247262,inf,0.0,inf,inf
2021-06-30,314.85631643656126,507.9720267888775,inf,0.0018501387604070718,inf,inf
2021-07-31,283.0417018744764,498.58423561119537,inf,0.004616805170821747,inf,inf
2021-08-31,283.16509760208794,513.1314841246831,inf,0.005514705882353033,inf,inf
2021-09-30,313.0668778392247,512.6624425487008,inf,0.000914076782449813,inf,inf
2021-10-31,345.4320048866347,501.7920385976645,inf,0.0018298261665141702,inf,inf
2021-11-30,327.4113811399964,504.9998415841336,inf,0.006392694063926951,inf,inf
2021-12-31,335.9813759719428,506.3746142926203,inf,0.0027223230490018846,inf,inf
2022-01-31,316.55415808357344,511.8737051265674,inf,0.010859728506787292,inf,inf
2022-02-28,314.1619049152841,487.32490188784726,inf,0.0008952551477170445,inf,inf
2022-03-31,329.3752760909659,539.531046372681,inf,0.0062611806797854275,inf,inf
2022-04-30,268.00253730142185,494.2991401975124,inf,0.008000000000000007,inf,inf
2022-05-31,323.5369878391032,521.9553716554701,inf,0.0044091710758378255,inf,inf
2022-06-30,288.5359639629001,538.9287708037122,inf,0.008779631255487308,inf,inf
2022-07-31,294.5199101928425,530.6622654758863,inf,0.007832898172323688,inf,inf
2022-08-31,294.7478329012785,545.4953528674648,inf,0.0043177892918826455,inf,inf
2022-09-30,251.8872664506882,535.244841170842,inf,0.004299226139294898,inf,inf
2022-10-31,298.03202848016184,540.2856744352936,inf,0.009417808219178259,inf,inf
2022-11-30,288.59668224011165,545.326507699745,inf,0.00932994062765058,inf,inf
2022-12-31,298.9447315140376,520.4525338587564,inf,0.003361344537815114,inf,inf
2023-01-31,318.6660752260899,569.4164732425644,inf,0.01675041876046901,inf,inf
2023-02-28,290.8500085954958,542.917304936949,inf,0.0,inf,inf
2023-03-31,224.433353136293,402.63824954914554,inf,0.0,inf,inf
