Date,FPH,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,342.62396296814967,486.77689961624105,0.07636589538757307,0.0,0.07636589538757307,0.9000558666224376
2019-02-28,311.7330268033851,431.0522938113194,0.029680374112998207,0.0009852216748766907,0.02923198316884243,0.3536668265299617
2019-03-31,348.7130912369078,466.047948177009,0.05117873856068947,0.0009842519685039353,0.051188183484283306,0.6082508364867607
2019-04-30,348.73912886282204,444.6076922411487,0.050308314017197785,0.002949852507374562,0.05057687483529942,0.6012418888256515
2019-05-31,361.83529747662817,479.36049065395446,0.03839059597090153,0.0019607843137254832,0.03844044095997769,0.4602736574445999
2019-06-30,340.9857621661057,445.04358213550273,0.04194731705119263,0.0009784735812133905,0.0419587499181966,0.4991742527145768
2019-07-31,425.67144019771865,491.0931479872226,0.06979246690314136,0.002938295788442735,0.06982871887058806,0.8313185699144877
2019-08-31,363.34244178185406,446.78714171291904,0.04385529468686532,0.0009765625,0.043993576929946626,0.5270183809800124
2019-09-30,384.5165211014996,481.2366569578839,0.035686091540852165,0.0009756097560975618,0.035699399005778405,0.4276716204377429
2019-10-31,379.77241211020055,493.4910637488789,0.029495523769143855,0.0029239766081872176,0.030002086643160075,0.35560702355082574
2019-11-30,356.2007299262594,472.92181171944264,0.021434801633394555,0.002915451895043608,0.021631024822097816,0.25859232903377455
2019-12-31,308.8523919285716,452.4537103395219,0.06593266673141658,0.005813953488372103,0.06618556452645008,0.801305797388276
2020-01-31,320.1742103917803,501.1643941861792,0.02925515428513422,0.00674373795761074,0.030012244498831452,0.3527841839951614
2020-02-29,294.4793413806816,465.5493529154562,0.05085851854885511,0.003827751196172291,0.051003464602780726,0.6234006517617343
2020-03-31,254.01091511980349,487.3341974456543,0.21320515005220422,0.0019212295869355245,0.21321383950362294,2.752186633600977
2020-04-30,241.37198988283626,464.2077121289563,0.12052187403928366,0.0009624639076035724,0.12036239842719153,1.417553001828182
2020-05-31,248.7886452392874,464.2077121289563,0.0555960042822308,0.0,0.0555960042822308,0.670673284420971
2020-06-30,268.43146704512867,478.4209025533896,0.11879744365576735,0.005780346820809301,0.11722153650376714,1.3963705714101102
2020-07-31,287.23635737837924,492.02461320547786,0.0979047047662705,0.00478927203065127,0.09794142353771196,1.1808672849202195
2020-08-31,265.46390526774064,468.67984808395596,0.0599954626875737,0.0009532888465205724,0.060003050237654273,0.7189674121683092
2020-09-30,284.76602676583457,492.02461320547786,0.06274285724013354,0.000954198473282597,0.06228686628551821,0.7481781896570522
2020-10-31,284.9685114183671,493.90077950940713,0.051693478199646974,0.0038131553860818457,0.05299699215803104,0.6124556028491321
2020-11-30,284.4970694049413,463.3509576983736,0.05926230382591788,0.009496676163342821,0.06000432199265285,0.7088590290034109
