Date,CNPF,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,73.72883735011695,486.77689961624105,0.06759358284159749,0.0,0.06759358284159749,0.8074987644844062
2019-02-28,66.63825613714693,431.0522938113194,0.07274359461804956,0.0009852216748766907,0.0728513997535453,0.8766333380854981
2019-03-31,70.51927035924294,466.047948177009,0.0712017083191489,0.0009842519685039353,0.07140364310460369,0.8506633398742742
2019-04-30,67.02102824487251,444.6076922411487,0.06678505679209924,0.002949852507374562,0.06690679838633037,0.802775271183215
2019-05-31,67.76915766039889,479.36049065395446,0.11823284012598917,0.0019607843137254832,0.11824903435738594,1.4176657752276927
2019-06-30,63.6655788240396,445.04358213550273,0.04342656304357603,0.0009784735812133905,0.04343760657175036,0.5192502370582256
2019-07-31,69.73341457292909,491.0931479872226,0.06095306411542215,0.002938295788442735,0.06095841903523823,0.7280392379422232
2019-08-31,61.09343464726795,446.78714171291904,0.08647124466548504,0.0009765625,0.08672493112520306,1.0367220862140882
2019-09-30,64.86936604438185,481.2366569578839,0.0442660787899068,0.0009756097560975618,0.04427680760111243,0.5325963391554968
2019-10-31,71.49262715833011,493.4910637488789,0.07796594365172209,0.0029239766081872176,0.07769770319461934,0.9241818247139608
2019-11-30,68.51669592880265,472.92181171944264,0.02968750788746538,0.002915451895043608,0.02982949276068162,0.3563670243601509
2019-12-31,65.90981414023257,452.4537103395219,0.02726024647963265,0.005813953488372103,0.02786634973402804,0.3271623465486477
2020-01-31,71.56426268047481,501.1643941861792,0.04860880333451808,0.00674373795761074,0.04906818245283279,0.5830046604075572
2020-02-29,66.28330402145022,465.5493529154562,0.024637165808488324,0.003827751196172291,0.024935004142325978,0.2967841469378964
2020-03-31,60.59634323125448,487.3341974456543,0.30041102632243505,0.0019212295869355245,0.30041719338811573,3.8100574104483917
2020-04-30,62.51594902902778,464.2077121289563,0.07151409634376324,0.0009624639076035724,0.0715205851370605,0.8588188833122894
2020-05-31,66.03559837693606,464.2077121289563,0.04789538308629619,0.0,0.04789538308629619,0.56928448480103
2020-06-30,67.47699513167431,478.4209025533896,0.0448028156675392,0.005780346820809301,0.04250972791782557,0.5394984666789268
2020-07-31,67.59989201174807,492.02461320547786,0.03147242866311731,0.00478927203065127,0.03121301902731722,0.378025049076126
2020-08-31,70.7868857910842,468.67984808395596,0.09029879563467065,0.0009532888465205724,0.09030383706021816,1.0510515714971256
2020-09-30,81.75563589135614,492.02461320547786,0.09934462916616987,0.000954198473282597,0.0992415815578438,1.1835355141598785
2020-10-31,81.39798277598776,493.90077950940713,0.08893429431282128,0.0038131553860818457,0.08891600110644518,1.0829888562492542
2020-11-30,75.65416313726563,463.3509576983736,0.10734014111713222,0.009496676163342821,0.10775158420222146,1.2534644391884682
2020-12-31,74.58216676927535,454.8110816591874,0.03274750967990556,0.008466603951081897,0.03408588724482687,0.3919575745103733
2021-01-31,81.72609619943925,496.7512053332131,0.07403240592104321,0.011194029850746245,0.07485549062956488,0.8924527904274842
2021-02-28,75.75806755719157,460.32651455244246,0.04258931699079815,0.0009225092250921829,0.042090885370224214,0.5096823067279028
2021-03-31,84.02134728746023,518.9089708224362,0.06596354371763609,0.0027649769585252892,0.06510029648058803,0.7877266191691781
2021-04-30,87.31409050090369,483.43789673545444,0.08924516042576669,0.0009242144177450395,0.08924995469342842,1.059310267974875
2021-05-31,101.58919726033866,495.3764326247262,0.10888332004620295,0.0,0.10888332004620295,1.2858581096903483
2021-06-30,109.22884234486787,507.9720267888775,0.08984169265694636,0.0018501387604070718,0.08981673493215367,1.074230098577074
2021-07-31,110.96953410733957,498.58423561119537,0.0761482160523051,0.004616805170821747,0.07483024189019659,0.9092332511209632
2021-08-31,117.43839874589571,513.1314841246831,0.11662778266917137,0.005514705882353033,0.11675666576020045,1.399017841854095
2021-09-30,128.38297200174173,512.6624425487008,0.11175113479658702,0.000914076782449813,0.11175487995731943,1.3295656268591927
2021-10-31,122.08747888297145,501.7920385976645,0.1254677323295803,0.0018298261665141702,0.12503356020598988,1.5005224727603637
2021-11-30,122.2687511181823,504.9998415841336,0.10108311413942316,0.006392694063926951,0.10128250083223549,1.2142224009935727
2021-12-31,124.03973153792296,506.3746142926203,0.08789270827587368,0.0027223230490018846,0.0889211904808977,1.0486883339007347
2022-01-31,125.97250692115323,511.8737051265674,0.07045560785235648,0.010859728506787292,0.0712699519720271,0.8460901713199015
2022-02-28,110.84899638697681,487.32490188784726,0.11718821014926191,0.0008952551477170445,0.11719162361973882,1.3971112558807792
2022-03-31,106.29431028987393,539.531046372681,0.16525652986284073,0.0062611806797854275,0.16696782100451887,2.010626389364142
2022-04-30,99.82796451896633,494.2991401975124,0.08658461617697107,0.008000000000000007,0.08789548532120352,1.0393107308481335
2022-05-31,98.8473950086698,521.9553716554701,0.13022885607824364,0.0044091710758378255,0.13030282205959118,1.5742973999817775
2022-06-30,101.48744996303729,538.9287708037122,0.054252657028149305,0.008779631255487308,0.05701902258089135,0.6492436414249638
2022-07-31,107.90223584337815,530.6622654758863,0.14089062538311364,0.007832898172323688,0.1402187010277039,1.6819954704617945
2022-08-31,117.08725378964185,545.4953528674648,0.12296132426597155,0.0043177892918826455,0.12444578241433174,1.4698666331254668
2022-09-30,109.4375621073496,535.244841170842,0.1456099492027101,0.004299226139294898,0.14658339771801238,1.7480153222827386
2022-10-31,108.61511174785947,540.2856744352936,0.12528812693613803,0.009417808219178259,0.12563503708472937,1.5163279340106959
