Date,DNL,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,54.91640115666721,486.77689961624105,0.050212655079128275,0.0,0.050212655079128275,0.6007382591318245
2019-02-28,49.08712532833839,431.0522938113194,0.047300273403139324,0.0009852216748766907,0.04662447405072818,0.563171473702581
2019-03-31,51.724183889163484,466.047948177009,0.07100677376940014,0.0009842519685039353,0.07159970216422117,0.8624895090977769
2019-04-30,48.88444708698259,444.6076922411487,0.061520426877006394,0.002949852507374562,0.06125071641038103,0.7448484414530133
2019-05-31,48.71768539247324,479.36049065395446,0.08852410710793303,0.0019607843137254832,0.0885457349704283,1.0650410297237005
2019-06-30,44.748169862017825,445.04358213550273,0.05211671703987957,0.0009784735812133905,0.052125919482723375,0.6273340633166083
2019-07-31,49.74184154210618,491.0931479872226,0.05401875457307667,0.002938295788442735,0.053890464940471984,0.6459400474783554
2019-08-31,40.552838371684906,446.78714171291904,0.09386980348391602,0.0009765625,0.09401423940561145,1.1386379281677803
2019-09-30,42.364271503237255,481.2366569578839,0.053357095624064585,0.0009756097560975618,0.05336599678959687,0.637755969755316
2019-10-31,41.11031865602601,493.4910637488789,0.07108762935355029,0.0029239766081872176,0.0712845157168328,0.8516501056055383
2019-11-30,39.87801524649891,472.92181171944264,0.06062475141717173,0.002915451895043608,0.06069440664661863,0.7255120725783533
2019-12-31,38.98106976469476,452.4537103395219,0.07747352912525804,0.005813953488372103,0.07768886744245308,0.9266160902783555
2020-01-31,43.64376244092619,501.1643941861792,0.07467396463505888,0.00674373795761074,0.0749738071724296,0.908728579667626
2020-02-29,37.86462597200717,465.5493529154562,0.13784511307256345,0.003827751196172291,0.1378986573193904,1.7012718264030497
2020-03-31,26.51928166447953,487.3341974456543,0.3006362813310786,0.0019212295869355245,0.3006424437761129,3.796400749308294
2020-04-30,24.08057100651893,464.2077121289563,0.1627792540507895,0.0009624639076035724,0.16269949446306214,1.916995755948215
2020-05-31,22.37916888537195,464.2077121289563,0.13067179084802638,0.0,0.13067179084802638,1.5837882595211332
2020-06-30,23.769339494399084,478.4209025533896,0.14178908289118294,0.005780346820809301,0.1398492276973335,1.7074601602596815
2020-07-31,22.669181723211803,492.02461320547786,0.08001347325592152,0.00478927203065127,0.08073907592356204,0.9632022722380195
2020-08-31,21.570776527515182,468.67984808395596,0.10510746317238963,0.0009532888465205724,0.10511179433946344,1.254367102932565
2020-09-30,25.55559234296869,492.02461320547786,0.16467312106969226,0.000954198473282597,0.16408363661823047,1.9269396957019904
2020-10-31,26.926693075830908,493.90077950940713,0.12243201120611404,0.0038131553860818457,0.12271217555615728,1.452668320516496
2020-11-30,29.966142561230665,463.3509576983736,0.09059187216045114,0.009496676163342821,0.09107900583876662,1.0757016560977404
2020-12-31,31.22686183400439,454.8110816591874,0.09351312281973798,0.008466603951081897,0.09286602645761659,1.1034460883055615
2021-01-31,33.58579610490125,496.7512053332131,0.0987179405353969,0.011194029850746245,0.09933669581018348,1.1903830133696451
2021-02-28,30.65489031133532,460.32651455244246,0.07152314767392441,0.0009225092250921829,0.07118973067438615,0.8504952096740972
2021-03-31,35.28199257411633,518.9089708224362,0.10583447562432637,0.0027649769585252892,0.1058707881395328,1.2808995244045354
2021-04-30,32.06414664387624,483.43789673545444,0.05001470626438584,0.0009242144177450395,0.05002326055017792,0.5967273790518146
2021-05-31,34.29666456085781,495.3764326247262,0.06617137763398603,0.0,0.06617137763398603,0.7913299604272337
2021-06-30,37.875969954576746,507.9720267888775,0.08034135919677589,0.0018501387604070718,0.08030022683789802,0.9511772592614576
2021-07-31,37.50605017860452,498.58423561119537,0.12334908172795968,0.004616805170821747,0.12269240836288176,1.4736050717966969
2021-08-31,38.536377619075715,513.1314841246831,0.0812500242412941,0.005514705882353033,0.0814349172549624,0.9620998485542309
2021-09-30,37.51258855371087,512.6624425487008,0.060596357172355855,0.000914076782449813,0.06088939583947228,0.7307095384944496
2021-10-31,37.14389451848042,501.7920385976645,0.07969365697678349,0.0018298261665141702,0.0794709289754865,0.945072535821069
2021-11-30,39.70439648200184,504.9998415841336,0.08604988985172511,0.006392694063926951,0.08628402258936561,1.032435301196368
2021-12-31,41.1938272074834,506.3746142926203,0.0904021966651425,0.0027223230490018846,0.09111283093681796,1.0785160632662072
2022-01-31,39.951186465485605,511.8737051265674,0.10657095440766476,0.010859728506787292,0.10711107178817031,1.2885680585217583
2022-02-28,36.258426606790316,487.32490188784726,0.06676058668992259,0.0008952551477170445,0.06676657834445035,0.808913006630494
2022-03-31,36.03603474301799,539.531046372681,0.11234505013026694,0.0062611806797854275,0.11189104057591939,1.3563832786153038
2022-04-30,32.19546086018959,494.2991401975124,0.08031543960043978,0.008000000000000007,0.08383097294782321,0.9747262798294196
2022-05-31,32.929872456479394,521.9553716554701,0.0626620696630732,0.0044091710758378255,0.06281564658351788,0.7465716635755741
2022-06-30,31.936577775334662,538.9287708037122,0.08685427805506707,0.008779631255487308,0.08629239454500136,1.044374202402798
2022-07-31,31.9972576949963,530.6622654758863,0.06562632932011138,0.007832898172323688,0.06676185753511354,0.7762207114160468
2022-08-31,34.34689360044079,545.4953528674648,0.07957210700050088,0.0043177892918826455,0.08071557030973532,0.9402264708519209
2022-09-30,34.378542726532196,535.244841170842,0.09623704428597588,0.004299226139294898,0.09573652152161574,1.1716010092373905
2022-10-31,32.54503956058434,540.2856744352936,0.14318487570814772,0.009417808219178259,0.14348852366539006,1.6683918200934058
2022-11-30,34.55983940934912,545.326507699745,0.08260946772717238,0.00932994062765058,0.08312502692480678,1.0040205227168986
