Date,CREIT,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,0.0,486.77689961624105,0.0,0.0,0.0,0.0
2019-02-28,0.0,431.0522938113194,0.0,0.0009852216748766907,0.0,0.0
2019-03-31,0.0,466.047948177009,0.0,0.0009842519685039353,0.0,0.0
2019-04-30,0.0,444.6076922411487,0.0,0.002949852507374562,0.0,0.0
2019-05-31,0.0,479.36049065395446,0.0,0.0019607843137254832,0.0,0.0
2019-06-30,0.0,445.04358213550273,0.0,0.0009784735812133905,0.0,0.0
2019-07-31,0.0,491.0931479872226,0.0,0.002938295788442735,0.0,0.0
2019-08-31,0.0,446.78714171291904,0.0,0.0009765625,0.0,0.0
2019-09-30,0.0,481.2366569578839,0.0,0.0009756097560975618,0.0,0.0
2019-10-31,0.0,493.4910637488789,0.0,0.0029239766081872176,0.0,0.0
2019-11-30,0.0,472.92181171944264,0.0,0.002915451895043608,0.0,0.0
2019-12-31,0.0,452.4537103395219,0.0,0.005813953488372103,0.0,0.0
2020-01-31,0.0,501.1643941861792,0.0,0.00674373795761074,0.0,0.0
2020-02-29,0.0,465.5493529154562,0.0,0.003827751196172291,0.0,0.0
2020-03-31,0.0,487.3341974456543,0.0,0.0019212295869355245,0.0,0.0
2020-04-30,0.0,464.2077121289563,0.0,0.0009624639076035724,0.0,0.0
2020-05-31,0.0,464.2077121289563,0.0,0.0,0.0,0.0
2020-06-30,0.0,478.4209025533896,0.0,0.005780346820809301,0.0,0.0
2020-07-31,0.0,492.02461320547786,0.0,0.00478927203065127,0.0,0.0
2020-08-31,0.0,468.67984808395596,0.0,0.0009532888465205724,0.0,0.0
2020-09-30,0.0,492.02461320547786,0.0,0.000954198473282597,0.0,0.0
2020-10-31,0.0,493.90077950940713,0.0,0.0038131553860818457,0.0,0.0
2020-11-30,0.0,463.3509576983736,0.0,0.009496676163342821,0.0,0.0
2020-12-31,0.0,454.8110816591874,0.0,0.008466603951081897,0.0,0.0
2021-01-31,0.0,496.7512053332131,0.0,0.011194029850746245,0.0,0.0
2021-02-28,0.0,460.32651455244246,0.0,0.0009225092250921829,0.0,0.0
2021-03-31,0.0,518.9089708224362,0.0,0.0027649769585252892,0.0,0.0
2021-04-30,0.0,483.43789673545444,0.0,0.0009242144177450395,0.0,0.0
2021-05-31,0.0,495.3764326247262,0.0,0.0,0.0,0.0
2021-06-30,0.0,507.9720267888775,0.0,0.0018501387604070718,0.0,0.0
2021-07-31,0.0,498.58423561119537,0.0,0.004616805170821747,0.0,0.0
2021-08-31,0.0,513.1314841246831,0.0,0.005514705882353033,0.0,0.0
2021-09-30,0.0,512.6624425487008,0.0,0.000914076782449813,0.0,0.0
2021-10-31,0.0,501.7920385976645,0.0,0.0018298261665141702,0.0,0.0
2021-11-30,0.0,504.9998415841336,0.0,0.006392694063926951,0.0,0.0
2021-12-31,0.0,506.3746142926203,0.0,0.0027223230490018846,0.0,0.0
2022-01-31,0.0,511.8737051265674,0.0,0.010859728506787292,0.0,0.0
2022-02-28,4.770115302589655,487.32490188784726,inf,0.0008952551477170445,inf,inf
2022-03-31,12.78689563576711,539.531046372681,0.09928682621202561,0.0062611806797854275,0.09758136426826679,1.1926451146341157
2022-04-30,11.29458719918528,494.2991401975124,0.04343010102823992,0.008000000000000007,0.044149312945383185,0.5203966979347163
2022-05-31,11.49757365708087,521.9553716554701,0.051500560422006916,0.0044091710758378255,0.051687311837881146,0.6155616684684563
2022-06-30,11.502947448371655,538.9287708037122,0.0647332128569993,0.008779631255487308,0.06531565576866548,0.7777036004123381
2022-07-31,11.099450436845961,530.6622654758863,0.041927128996971874,0.007832898172323688,0.040297626719020305,0.4980659459647884
2022-08-31,11.31141458881249,545.4953528674648,0.04858367434557324,0.0043177892918826455,0.048773525178251245,0.5816912017409058
2022-09-30,10.549393347486859,535.244841170842,0.047997223594907976,0.004299226139294898,0.0489192621198499,0.577015082259543
2022-10-31,10.009210758096764,540.2856744352936,0.09279749012479138,0.009417808219178259,0.0932653309948356,1.1355673448968164
2022-11-30,9.746312123054546,545.326507699745,0.06850529960543493,0.00932994062765058,0.06912613121760483,0.8156200400816144
2022-12-31,9.728823155962905,520.4525338587564,0.047512558097264165,0.003361344537815114,0.04635063224226834,0.5665948283282306
2023-01-31,11.10712384013071,569.4164732425644,0.04546446938560791,0.01675041876046901,0.04835727411371838,0.5424080341046442
2023-02-28,10.986387031230969,542.917304936949,0.04743455314392673,0.0,0.04743455314392673,0.5682336492935606
2023-03-31,8.104912090824921,402.63824954914554,0.025637279778238074,0.0,0.025637279778238074,0.30698062935474757
