Date,GLO,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,9709.18724713866,486.77689961624105,0.08677779458009345,0.0,0.08677779458009345,1.0345291767054212
2019-02-28,8231.15143828614,431.0522938113194,0.05320432888514819,0.0009852216748766907,0.05274264401546597,0.6404741265583094
2019-03-31,8833.74337413081,466.047948177009,0.07466808635635584,0.0009842519685039353,0.07465375417744832,0.891511529345248
2019-04-30,8143.226571820288,444.6076922411487,0.05306429254861779,0.002949852507374562,0.05370634004236195,0.639704060547548
2019-05-31,9478.099334782264,479.36049065395446,0.10899609598853657,0.0019607843137254832,0.10901366236825,1.282136464550746
2019-06-30,9723.884820379148,445.04358213550273,0.07550418825985226,0.0009784735812133905,0.075510540533648,0.8993078353623086
2019-07-31,10587.698333443393,491.0931479872226,0.08895865008407419,0.002938295788442735,0.08946341134213431,1.0755586421898709
2019-08-31,8526.776940907977,446.78714171291904,0.08968127256057208,0.0009765625,0.08993331343516307,1.0792488727310015
2019-09-30,9028.622652431544,481.2366569578839,0.07473990198571248,0.0009756097560975618,0.07474625682096463,0.902394789710076
2019-10-31,8841.177919259402,493.4910637488789,0.04827370675514919,0.0029239766081872176,0.048427240916106104,0.5814458143861823
2019-11-30,8709.517782288523,472.92181171944264,0.07630025832100726,0.002915451895043608,0.07635561494509539,0.9138554910178973
2019-12-31,8598.454744894574,452.4537103395219,0.07358284815291356,0.005813953488372103,0.07380953835151373,0.8800612808810692
2020-01-31,9642.395604827672,501.1643941861792,0.08166163014441091,0.00674373795761074,0.08193590547161356,0.984794159236862
2020-02-29,8607.931110319134,465.5493529154562,0.05922624481529187,0.003827751196172291,0.05935075877715259,0.7164365681046762
2020-03-31,8578.625647503217,487.3341974456543,0.1887096396071842,0.0019212295869355245,0.18871945694010225,2.2415774181898276
2020-04-30,9722.204071094167,464.2077121289563,0.17300397925914793,0.0009624639076035724,0.17321602532681957,2.0162331362081183
2020-05-31,9892.268091797756,464.2077121289563,0.09611868825478054,0.0,0.09611868825478054,1.147038543355518
2020-06-30,9871.519234646712,478.4209025533896,0.08521323657463467,0.005780346820809301,0.08682147843490048,1.023863629825416
2020-07-31,9739.782338430361,492.02461320547786,0.082718698126092,0.00478927203065127,0.08200978729886012,0.9985084604224778
2020-08-31,9476.360904904372,468.67984808395596,0.06426266040196926,0.0009532888465205724,0.0642697441776863,0.7663272262425034
2020-09-30,9806.023658955753,492.02461320547786,0.07731070782046474,0.000954198473282597,0.07764852789714675,0.929537851956956
2020-10-31,9548.524493344508,493.90077950940713,0.0673568390755663,0.0038131553860818457,0.06691710340210147,0.8109317502383955
2020-11-30,8807.351247679406,463.3509576983736,0.0713165341796632,0.009496676163342821,0.07193431761295599,0.8614023779898743
2020-12-31,8623.654445767177,454.8110816591874,0.054389416328872016,0.008466603951081897,0.05327777114084722,0.6495148570809254
2021-01-31,9353.714663169922,496.7512053332131,0.07279335193655319,0.011194029850746245,0.07363028885651375,0.8731824831924887
2021-02-28,8589.931897285333,460.32651455244246,0.06580412667290392,0.0009225092250921829,0.06521522277884476,0.7854023323532248
2021-03-31,9356.509391861902,518.9089708224362,0.0719697306795079,0.0027649769585252892,0.07202311909859645,0.8666717243258308
2021-04-30,8307.797903175064,483.43789673545444,0.04901539487196731,0.0009242144177450395,0.04902412352926944,0.5898660612573008
2021-05-31,8386.35576397758,495.3764326247262,0.05077959191984629,0.0,0.05077959191984629,0.6104167236117402
2021-06-30,8620.800542873034,507.9720267888775,0.054513743276851344,0.0018501387604070718,0.05414602434092198,0.652333699751661
2021-07-31,8822.210437299713,498.58423561119537,0.063380366606737,0.004616805170821747,0.06234248269877108,0.7608468428130384
2021-08-31,10220.861705355375,513.1314841246831,0.22319750214135556,0.005514705882353033,0.22326487469203954,2.5493282150912586
2021-09-30,13748.944395843631,512.6624425487008,0.15824138314264657,0.000914076782449813,0.15833035759905284,1.8767809577002346
2021-10-31,14295.287335342371,501.7920385976645,0.1612863174662023,0.0018298261665141702,0.16104092086550195,1.9118947609728687
2021-11-30,15544.396289338483,504.9998415841336,0.11045464689235378,0.006392694063926951,0.11063714580023606,1.310739625391106
2021-12-31,15459.045248656206,506.3746142926203,0.13247100323465885,0.0027223230490018846,0.13336453415957747,1.5626636790644601
2022-01-31,15059.169831036505,511.8737051265674,0.07173164879873996,0.010859728506787292,0.07253166767444261,0.8646398292212543
2022-02-28,12507.43714755345,487.32490188784726,0.12364082889499939,0.0008952551477170445,0.12364406422665616,1.5117087227456563
2022-03-31,11899.232412218866,539.531046372681,0.13962941803456494,0.0062611806797854275,0.13945535579218635,1.6813133574725465
2022-04-30,10634.625710385862,494.2991401975124,0.11979429051519089,0.008000000000000007,0.12056812353204598,1.4491951318630616
2022-05-31,11095.580020891202,521.9553716554701,0.15112454814486911,0.0044091710758378255,0.15118829165393874,1.8086748594756044
2022-06-30,10653.421797713634,538.9287708037122,0.1028432529405483,0.008779631255487308,0.10402570360194942,1.2353990118469464
2022-07-31,10119.318356490223,530.6622654758863,0.0678055617013018,0.007832898172323688,0.07234030884751479,0.820027049654561
2022-08-31,10275.037712826168,545.4953528674648,0.11554500558939666,0.0043177892918826455,0.1163613220497384,1.3745855386167396
2022-09-30,9810.514563467097,535.244841170842,0.07728686269862137,0.004299226139294898,0.07627252677961674,0.9311043042021576
2022-10-31,10278.84682247965,540.2856744352936,0.13510830886057051,0.009417808219178259,0.13543006651138736,1.60232173505836
2022-11-30,10337.586372069643,545.326507699745,0.06842156265315502,0.00932994062765058,0.06904314722680836,0.8302557361827221
