Date,AREIT,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,0.0,486.77689961624105,0.0,0.0,0.0,0.0
2019-02-28,0.0,431.0522938113194,0.0,0.0009852216748766907,0.0,0.0
2019-03-31,0.0,466.047948177009,0.0,0.0009842519685039353,0.0,0.0
2019-04-30,0.0,444.6076922411487,0.0,0.002949852507374562,0.0,0.0
2019-05-31,0.0,479.36049065395446,0.0,0.0019607843137254832,0.0,0.0
2019-06-30,0.0,445.04358213550273,0.0,0.0009784735812133905,0.0,0.0
2019-07-31,0.0,491.0931479872226,0.0,0.002938295788442735,0.0,0.0
2019-08-31,0.0,446.78714171291904,0.0,0.0009765625,0.0,0.0
2019-09-30,0.0,481.2366569578839,0.0,0.0009756097560975618,0.0,0.0
2019-10-31,0.0,493.4910637488789,0.0,0.0029239766081872176,0.0,0.0
2019-11-30,0.0,472.92181171944264,0.0,0.002915451895043608,0.0,0.0
2019-12-31,0.0,452.4537103395219,0.0,0.005813953488372103,0.0,0.0
2020-01-31,0.0,501.1643941861792,0.0,0.00674373795761074,0.0,0.0
2020-02-29,0.0,465.5493529154562,0.0,0.003827751196172291,0.0,0.0
2020-03-31,0.0,487.3341974456543,0.0,0.0019212295869355245,0.0,0.0
2020-04-30,0.0,464.2077121289563,0.0,0.0009624639076035724,0.0,0.0
2020-05-31,0.0,464.2077121289563,0.0,0.0,0.0,0.0
2020-06-30,0.0,478.4209025533896,0.0,0.005780346820809301,0.0,0.0
2020-07-31,0.0,492.02461320547786,0.0,0.00478927203065127,0.0,0.0
2020-08-31,81.1616904703198,468.67984808395596,inf,0.0009532888465205724,inf,inf
2020-09-30,120.2686368094359,492.02461320547786,0.024090117353279296,0.000954198473282597,0.024262190852193558,0.2888884024349368
2020-10-31,120.55508077223456,493.90077950940713,0.014655637217191599,0.0038131553860818457,0.013599944274385361,0.17597288820412307
2020-11-30,114.90878991617656,463.3509576983736,0.03365029364695062,0.009496676163342821,0.034940524689371324,0.40117352549989194
2020-12-31,122.08464276885934,454.8110816591874,0.049768461450941597,0.008466603951081897,0.0479614106772204,0.5902809661462668
2021-01-31,140.27881165735616,496.7512053332131,0.05020789922243009,0.011194029850746245,0.05141381619044106,0.5980947650673722
2021-02-28,141.72005856617474,460.32651455244246,0.047841673162320096,0.0009225092250921829,0.04785055011446635,0.5700137062604693
2021-03-31,159.11101470357104,518.9089708224362,0.05132202513288854,0.0027649769585252892,0.051718800779538894,0.6162661049675144
2021-04-30,152.86654310214516,483.43789673545444,0.0350430486694405,0.0009242144177450395,0.035055256573115624,0.42001344736561097
2021-05-31,160.0707890278548,495.3764326247262,0.05479990563591447,0.0,0.05479990563591447,0.6565305297313977
2021-06-30,170.4910774791455,507.9720267888775,0.04096884794529549,0.0018501387604070718,0.04069493064439612,0.49101359991291527
2021-07-31,166.2642475097999,498.58423561119537,0.025377875775558775,0.004616805170821747,0.02453339228976007,0.30498751901342
2021-08-31,171.7837448654558,513.1314841246831,0.03083941880502154,0.005514705882353033,0.03132329901755574,0.36920382986752587
2021-09-30,179.24519519362298,512.6624425487008,0.074814164752996,0.000914076782449813,0.07493718082320679,0.894818845359036
2021-10-31,186.64954460164105,501.7920385976645,0.10500833092895245,0.0018298261665141702,0.1050460476723003,1.264919000818504
2021-11-30,213.65028083295374,504.9998415841336,0.10959320098448132,0.006392694063926951,0.10977713201178581,1.3204451939615236
2021-12-31,216.8848138989911,506.3746142926203,0.11530364651196963,0.0027223230490018846,0.11663701834243204,1.3794884650841133
2022-01-31,231.39752591590084,511.8737051265674,0.04240408811732001,0.010859728506787292,0.04374380030714583,0.50507376475371
2022-02-28,220.49438201459915,487.32490188784726,0.09131414035449913,0.0008952551477170445,0.09131852099833923,1.1116877810238674
2022-03-31,226.55949549731963,539.531046372681,0.13769048644169884,0.0062611806797854275,0.13622109323077747,1.6823583109619666
2022-04-30,191.3168771959233,494.2991401975124,0.08415230078830976,0.008000000000000007,0.08421908945602323,1.0329005617330154
2022-05-31,177.7732192991959,521.9553716554701,0.1379449860209753,0.0044091710758378255,0.13801481677549207,1.6600315242074593
2022-06-30,175.1800359630058,538.9287708037122,0.06316976710415496,0.008779631255487308,0.06539532169277165,0.7665059972934969
2022-07-31,167.97240844853062,530.6622654758863,0.05903960781233449,0.007832898172323688,0.05560072763039786,0.7045179444918171
2022-08-31,177.25270096672716,545.4953528674648,0.07828564301177905,0.0043177892918826455,0.0777895092273228,0.9286575546391256
2022-09-30,171.90203605542314,535.244841170842,0.11008899267000026,0.004299226139294898,0.11027237616353715,1.3613397415417163
2022-10-31,147.74381543739827,540.2856744352936,0.0852828087091553,0.009417808219178259,0.08579163859862955,1.0281622302429596
2022-11-30,148.38484592437328,545.326507699745,0.0941158823222278,0.00932994062765058,0.09456873293205609,1.093724250065593
2022-12-31,154.17749511520805,520.4525338587564,0.053133880703118884,0.003361344537815114,0.05441560821355058,0.6396580051318052
2023-01-31,167.4337480915959,569.4164732425644,0.03921056030185016,0.01675041876046901,0.04253088316011609,0.4692669755346123
2023-02-28,159.6171356715813,542.917304936949,0.02754992835167767,0.0,0.02754992835167767,0.3307178300592307
2023-03-31,117.06427721555369,402.63824954914554,0.03752049337355596,0.0,0.03752049337355596,0.45382721447487845
