"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","61.850","62.200","62.200","61.850","1.19K","0.00%"
"03/14/2023","61.850","61.950","61.950","61.850","68.01K","-0.16%"
"03/13/2023","61.950","62.150","62.200","61.900","241.88K","-0.40%"
"03/10/2023","62.200","61.950","62.200","61.950","31.03K","0.40%"
"03/09/2023","61.950","61.950","62.000","61.950","6.35K","0.00%"
"03/08/2023","61.950","61.950","62.400","61.900","51.07K","-0.08%"
"03/07/2023","62.000","62.500","62.500","62.000","2.98K","-1.27%"
"03/06/2023","62.800","61.900","62.900","61.900","7.32K","1.45%"
"03/03/2023","61.900","61.850","62.900","61.850","25.46K","0.08%"
"03/02/2023","61.850","61.850","61.900","61.850","12.96K","0.00%"
"03/01/2023","61.850","61.900","61.900","61.850","1.54K","0.00%"
"02/28/2023","61.850","62.000","62.000","61.850","50.46K","-1.20%"
"02/27/2023","62.600","62.500","63.000","62.500","1.15K","0.16%"
"02/24/2023","62.500","61.900","63.000","61.900","4.53K","0.00%"
"02/23/2023","62.500","61.900","63.000","61.900","4.53K","0.97%"
"02/22/2023","61.900","61.950","61.950","61.900","11.12K","-0.08%"
"02/21/2023","61.950","63.200","63.200","61.950","256.81K","0.00%"
"02/20/2023","61.950","62.050","62.050","61.900","12.49K","-0.16%"
"02/17/2023","62.050","62.800","62.800","62.050","108.43K","-1.19%"
"02/16/2023","62.800","62.750","63.000","62.750","19.09K","-0.24%"
"02/15/2023","62.950","63.000","63.000","62.750","12.12K","0.32%"
"02/14/2023","62.750","62.900","63.000","62.750","11.64K","-0.08%"
"02/13/2023","62.800","63.000","63.000","62.800","79.58K","0.00%"
"02/10/2023","62.800","63.000","63.100","62.800","17.84K","-0.16%"
"02/09/2023","62.900","63.000","64.500","62.900","84.82K","-0.16%"
"02/08/2023","63.000","64.500","64.500","62.950","4.30K","0.08%"
"02/07/2023","62.950","63.200","63.200","62.950","53.24K","0.00%"
"02/06/2023","62.950","63.100","63.100","62.900","29.92K","0.00%"
"02/03/2023","62.950","62.900","63.000","62.900","17.23K","0.08%"
"02/02/2023","62.900","63.100","63.250","62.900","103.15K","-0.32%"
"02/01/2023","63.100","64.500","64.500","63.000","9.12K","0.16%"
"01/31/2023","63.000","63.050","63.550","63.000","14.56K","0.00%"
"01/27/2023","63.000","63.150","63.200","63.000","19.26K","-0.24%"
"01/26/2023","63.150","64.500","64.500","63.100","9.42K","-2.09%"
"01/25/2023","64.500","64.550","65.800","64.400","37.73K","0.00%"
"01/24/2023","64.500","64.500","65.000","63.150","21.47K","2.14%"
"01/23/2023","63.150","63.050","64.500","63.050","7.02K","0.24%"
"01/20/2023","63.000","64.500","64.500","63.000","0.46K","0.16%"
"01/19/2023","62.900","62.550","63.450","62.550","2.36K","0.56%"
"01/18/2023","62.550","64.400","64.500","62.300","3.04K","-2.27%"
"01/17/2023","64.000","64.000","64.500","62.250","5.44K","2.24%"
"01/16/2023","62.600","62.100","64.300","62.100","24.38K","0.56%"
"01/13/2023","62.250","62.800","64.000","61.200","38.17K","0.24%"
"01/12/2023","62.100","62.050","62.100","62.000","25.43K","1.72%"
"01/11/2023","61.050","61.000","62.000","61.000","23.07K","0.08%"
"01/10/2023","61.000","60.900","61.900","60.800","17.45K","0.16%"
"01/09/2023","60.900","60.600","61.000","60.600","5.19K","0.50%"
"01/06/2023","60.600","60.500","60.700","60.250","10.71K","0.92%"
"01/05/2023","60.050","61.000","61.000","60.000","24.83K","0.08%"
"01/04/2023","60.000","60.350","60.400","60.000","33.60K","-0.50%"
"01/03/2023","60.300","60.500","60.500","59.500","38.43K","-0.41%"
"12/29/2022","60.550","60.900","60.900","60.550","2.67K","-0.57%"
"12/28/2022","60.900","60.550","60.900","60.550","2.40K","-0.08%"
"12/27/2022","60.950","61.000","61.000","60.950","0.35K","0.74%"
"12/23/2022","60.500","61.000","61.000","60.500","1.16K","0.00%"
"12/22/2022","60.500","60.800","60.800","60.500","5.51K","0.50%"
"12/21/2022","60.200","60.450","61.600","60.200","7.17K","-0.41%"
"12/20/2022","60.450","61.900","61.900","60.450","5.65K","-1.55%"
"12/19/2022","61.400","60.100","61.900","60.100","3.68K","2.16%"
"12/16/2022","60.100","60.050","60.100","60.050","10.02K","0.08%"
"12/15/2022","60.050","60.400","60.400","60.000","7.47K","-0.58%"
"12/14/2022","60.400","60.650","60.850","60.400","11.83K","-1.63%"
"12/13/2022","61.400","61.500","61.500","60.650","6.09K","1.24%"
"12/12/2022","60.650","61.750","61.750","60.650","3.24K","-0.16%"
"12/09/2022","60.750","60.750","60.750","60.750","8.22K","-1.86%"
"12/07/2022","61.900","60.800","62.000","60.650","7.78K","1.81%"
"12/06/2022","60.800","61.900","62.300","60.000","4.02M","-1.78%"
"12/05/2022","61.900","62.450","62.450","61.800","11.28K","0.16%"
"12/02/2022","61.800","62.000","62.850","61.750","7.43K","-0.32%"
